,artist_name,album_name,spotify_id,popularity,duration_ms,tempo,loudness,instrumentalness,acousticness,speechiness,liveness,danceability,energy,valence,key,mode,time_signature,duration_ms_standard_dev,tempo_standard_dev,loudness_standard_dev,instrumentalness_standard_dev,acousticness_standard_dev,speechiness_standard_dev,liveness_standard_dev,danceability_standard_dev,energy_standard_dev,valence_standard_dev,score
945,Panopticon,"The Scars of Man on the Once Nameless Wilderness, Part 1",76P2P0LBxyoIxVaGe8VWkb,25.0,436350.25,136.57062499999998,-10.838875,0.625,0.125,0.09633749999999999,0.0,0.1841625,0.7322500000000001,0.1034375,10,1,4,169159.80742966945,36.320162043130885,3.927182430099946,0.5175491695067657,0.3535533905932738,0.05725152368527596,0.0,0.11980569909530303,0.29526489317705407,0.08707630377187257,4.0
946,Paramore,After Laughter,1c9Sx7XdXuMptGyfCB6hHs,71.0,213207.75,114.569,-6.497166666666666,0.08333333333333333,0.08333333333333333,0.038066666666666665,0.0,0.6671666666666667,0.7253333333333334,0.6719166666666666,2,1,4,22774.984522996438,17.038174928937984,2.380208578840913,0.28867513459481287,0.28867513459481287,0.007292628075147137,0.0,0.09056171510315074,0.1829114705550367,0.2210826494295468,7.0
947,Park Jiha,Communion,5cOsXBUTKytilc5odrPtpk,20.0,414386.71428571426,120.35985714285714,-12.660571428571428,0.5714285714285714,0.8571428571428571,0.03727142857142857,0.0,0.29542857142857143,0.2414285714285714,0.0663,10,0,4,132260.6797372954,24.836862935487456,1.8495274943565858,0.5345224838248488,0.37796447300922725,0.0052031126215354,0.0,0.08359995443152096,0.16084864225191867,0.03688305844151214,6.0
948,Parquet Courts,Human Performance,4RNew41ZeRuoRNg3YAhvpe,49.0,198522.85714285713,129.4747857142857,-6.501928571428571,0.21428571428571427,0.21428571428571427,0.03695,0.0,0.5392857142857144,0.7497142857142858,0.6232142857142857,2,1,4,70929.67597216615,22.3602016888474,3.4219388895385414,0.4258153136263201,0.4258153136263201,0.010239722802738513,0.0,0.10991425229306183,0.17996599190335438,0.19422595032646847,7.0
949,Parquet Courts,Light Up Gold,1aYXn1WnQWLTmOpQtKVeYJ,34.0,132907.46666666667,116.5064,-8.5222,0.4666666666666667,0.06666666666666667,0.048813333333333334,0.06666666666666667,0.3768666666666667,0.70785,0.5172666666666667,2,1,4,72709.53332843016,34.53574569878908,3.6736543931077676,0.5163977794943222,0.2581988897471611,0.013673063543575985,0.2581988897471611,0.13079638847496988,0.24126492921978643,0.2285058507118008,7.0
950,Parquet Courts,Sunbathing Animal,6QLvKr5uNyu6fwFXroL8oE,38.0,211283.85714285713,122.02200000000002,-6.2282142857142855,0.42857142857142855,0.42857142857142855,0.08189285714285714,0.0,0.5144285714285715,0.7337142857142858,0.596,9,1,4,103586.47162328988,39.64200848167937,2.5771243120540817,0.5135525910130955,0.5135525910130955,0.13569759061568154,0.0,0.18945334895053037,0.20713965135829301,0.30244109407389635,4.0
951,Parquet Courts,Wide Awake!,5uTI2HcpAywDP8Vo1DpJta,58.0,178667.6923076923,131.043,-3.5943076923076926,0.07692307692307693,0.0,0.08120000000000001,0.07692307692307693,0.5437692307692308,0.8325384615384614,0.7473076923076923,7,1,4,53650.32572188265,29.630527450587167,1.127556826699168,0.2773500981126145,0.0,0.07373063587591433,0.2773500981126146,0.15668394612837322,0.0808956275957024,0.1705664018378105,9.0
952,Passion Pit,Gossamer,14JU5SskmcyckE5I8PY6lv,63.0,237649.83333333334,115.81516666666666,-6.816,0.0,0.08333333333333333,0.07761666666666667,0.0,0.5585,0.7154166666666666,0.3983666666666667,5,1,4,69521.53588615327,22.469911922121078,2.7473519812886935,0.0,0.28867513459481287,0.12288537033522032,0.0,0.151763272596142,0.20608270993301045,0.20839057443932418,6.0
953,Paul de Jong,IF,2r2Twru3VO9lOJXaaWTLhy,11.0,203876.58333333334,104.49758333333331,-16.749416666666665,0.6666666666666666,0.75,0.06798333333333334,0.0,0.42916666666666675,0.4275,0.2747,2,1,4,87654.12645107767,29.33910188083886,5.808328979825333,0.4923659639173309,0.4522670168666455,0.07110166643403634,0.0,0.15872092909674307,0.2538093414714711,0.2737904806101324,7.0
954,Perfume Genius,No Shape,7awgq3vvlsIeA7dZduR9x4,60.0,200172.46153846153,114.60423076923078,-9.604307692307692,0.07692307692307693,0.6923076923076923,0.03799230769230769,0.0,0.40207692307692294,0.40626153846153856,0.2663076923076923,0,1,4,49337.555476897076,33.47818561181258,2.7418256200512157,0.2773500981126145,0.48038446141526137,0.012551126213641916,0.0,0.21196165594216235,0.2012764000839871,0.1660802740722011,8.0
955,Perfume Genius,Put Your Back N 2 It,5hjlzVCJCePW4DmMJVryla,44.0,162267.66666666666,116.1416666666667,-14.198083333333335,0.16666666666666666,0.9166666666666666,0.03580833333333334,0.0,0.31358333333333327,0.23535000000000006,0.17632499999999998,10,1,4,31207.26885994623,39.57714942726268,2.493585715329828,0.3892494720807615,0.28867513459481287,0.007935817347299328,0.0,0.12392039844801639,0.14031165635502602,0.15087572324146903,9.0
956,Perfume Genius,Too Bright,28FxHb9OJRzAch4DwUUsaT,49.0,181248.45454545456,121.77963636363634,-10.59818181818182,0.36363636363636365,0.7272727272727273,0.03975454545454546,0.0,0.35700000000000004,0.34255454545454544,0.1486090909090909,1,1,4,42385.29516085416,30.13717676648802,3.931858182035101,0.504524979109513,0.4670993664969138,0.007727271657753936,0.0,0.13597793938724032,0.2522069838986873,0.13476459070946978,8.0
957,Pharmakon,Bestial Burden,3HOtmw25fWCfpvAlxl9H8p,19.0,279990.71428571426,115.31585714285713,-8.732142857142858,0.7142857142857143,0.14285714285714285,0.07189999999999999,0.0,0.3531142857142857,0.4615714285714286,0.1341857142857143,8,0,4,150823.30683807272,32.99083033424374,4.483421588793222,0.4879500364742666,0.37796447300922725,0.04176457829309426,0.0,0.2142485116912245,0.27778400310484475,0.14987220587966968,5.0
958,Pharoahe Monch,PTSD - Post Traumatic Stress Disorder,6LCwRIRXxJYmC2KIagqYHf,37.0,168489.4705882353,112.85170588235293,-7.864588235294118,0.0,0.35294117647058826,0.3063294117647059,0.0,0.5733529411764705,0.7162941176470587,0.6191764705882352,6,1,4,92622.99683131995,31.744114737547623,5.074443652495606,0.0,0.492592183071889,0.3016910190176074,0.0,0.1465004015252478,0.22673188039672604,0.22716877957097165,7.0
959,Pharrell Williams,G I R L,0lrmy4pJINsFzycJvttX2W,72.0,277154.0,124.38109090909091,-6.965090909090909,0.0,0.09090909090909091,0.12566363636363634,0.0,0.778090909090909,0.6894545454545455,0.6779999999999999,7,0,4,77768.66447226673,25.51437633748686,2.0465174054742588,0.0,0.30151134457776363,0.10183821750921676,0.0,0.13664732309522537,0.13619938592839811,0.20664897773761184,3.0
960,Phoenix,Bankrupt!,1s7a0VpP3aNEubiTgx6YlU,48.0,243751.8,120.22670000000001,-6.3923000000000005,0.2,0.0,0.039939999999999996,0.0,0.3829,0.7412000000000001,0.29607000000000006,0,1,4,67158.32707333387,19.27868722507376,2.3560194325740746,0.4216370213557839,0.0,0.006860385476698006,0.0,0.10437480538904012,0.11455110455842646,0.1364973101078064,5.0
961,Phosphorescent,Muchacho,1lCaYGVwy25AGVzuNUU1rD,50.0,279360.0,118.89219999999997,-8.773499999999999,0.1,0.8,0.032479999999999995,0.0,0.33070000000000005,0.47989999999999994,0.29577000000000003,7,1,4,76443.06631881156,41.10606072047717,2.7798246247640233,0.31622776601683794,0.4216370213557839,0.003104763365468544,0.0,0.13970767098958214,0.1771499364944848,0.17914989409864454,6.0
962,Pianos Become The Teeth,Keep You,6FIG1qaWuCW4SiY2EtLJE7,37.0,260876.0,123.38049999999998,-7.794,0.0,0.1,0.04087,0.0,0.4824,0.6803999999999999,0.417,1,1,4,71397.62477686339,11.039807861150086,1.2019976890345687,0.0,0.31622776601683794,0.017611489305437957,0.0,0.11036021827532681,0.17001973741631035,0.1963551204662953,4.0
963,Pianos Become The Teeth,The Lack Long After,0JvkUMttIwTRYwm3OVBoch,25.0,279717.625,119.58375,-7.091124999999999,0.125,0.0,0.0674875,0.0,0.29712500000000003,0.793375,0.250375,2,1,4,44370.51870953924,29.848046223448915,1.8939300362322937,0.3535533905932738,0.0,0.013173397164632318,0.0,0.16653308337127148,0.21047696684299824,0.07913810261633954,6.0
964,Pig Destroyer,Book Burner,604JFtgeDXfwIRVqZtaCZg,33.0,100588.68421052632,112.12373684210527,-5.6774736842105265,0.8947368421052632,0.0,0.1758947368421053,0.0,0.323578947368421,0.9812105263157895,0.14953157894736843,1,0,4,61662.818672783,23.949402156403046,0.44048601546991406,0.3153017676423057,0.0,0.09394613985141943,0.0,0.06884791273320706,0.01515687943318306,0.08649892775592065,6.0
965,Pile,Dripping,1EATaHbkgnTHArARzB9THv,37.0,219934.6,148.1378,-8.795599999999999,0.2,0.0,0.05143,0.0,0.29960000000000003,0.6815000000000001,0.2693,0,1,4,52845.55780805464,18.43514517798364,1.5538381297076387,0.4216370213557839,0.0,0.02455492935350366,0.0,0.08224381097957734,0.2045212567056159,0.1094075459514156,8.0
966,Pile,You're Better Than This,1rhRbObNIBv3go6twKKfb5,26.0,220839.7,119.95729999999999,-11.3941,0.5,0.1,0.0485,0.0,0.3026,0.5940999999999999,0.3055,10,1,4,104854.43066042666,39.82776199545572,3.404340446808718,0.5270462766947299,0.31622776601683794,0.01794794943409661,0.0,0.1080238656758568,0.2771194888691719,0.1672276957391395,6.0
967,Pink Floyd,The Endless River,0yU7VItpGPmPcvKmwLg0JT,53.0,186236.09523809524,112.93614285714287,-17.955476190476194,0.8571428571428571,0.47619047619047616,0.036609523809523814,0.0,0.32409523809523816,0.3078952380952381,0.15072857142857143,0,1,4,98773.65935455907,33.17970104489447,4.54310269110272,0.358568582800318,0.5117663157191591,0.006563376018628277,0.0,0.14394301120995934,0.20044574197570394,0.14866639547274005,6.0
968,Pissed Jeans,Honeys,1nHN6c8xXqgYyUmkJHZucJ,24.0,177235.66666666666,110.91358333333335,-7.936666666666667,0.5,0.08333333333333333,0.06934166666666668,0.0,0.2785,0.7683333333333332,0.1948416666666667,9,1,4,58318.331132334424,28.01934149332737,3.116198713856744,0.5222329678670935,0.28867513459481287,0.03266372629005325,0.0,0.06382433277791044,0.20035892036467196,0.09050600641377177,7.0
969,Pissed Jeans,Why Love Now,28DmrpnPDaAYBc0F5P6niZ,30.0,186086.58333333334,126.67816666666668,-5.044416666666666,0.08333333333333333,0.0,0.110775,0.0,0.449,0.9230833333333335,0.33849999999999997,11,1,4,51401.06593952792,29.062455570510185,1.1363505747734184,0.28867513459481287,0.0,0.07512579904279343,0.0,0.08168898890971114,0.09983027262976567,0.1927192446869987,7.0
970,Pissgrave,Suicide Euphoria,665dNixFI8wcSx4q0BD8e2,18.0,211647.44444444444,131.595,-4.660444444444444,1.0,0.0,0.09466666666666666,0.0,0.16011111111111112,0.9572222222222222,0.032888888888888884,10,1,4,41217.07320125699,18.858172551973325,0.24546644939334963,0.0,0.0,0.014446106741956462,0.0,0.037879560598178943,0.042008266382278156,0.0029569597750241905,7.0
971,Pixies,Indie Cindy,1DDCTTXogJbszTFZgGhwGj,33.0,229529.0,104.22241666666666,-3.85925,0.08333333333333333,0.0,0.049266666666666674,0.0,0.4755833333333333,0.8933333333333334,0.5136666666666667,9,1,4,32299.74373666989,15.948133823333993,0.8649064190051801,0.2886751345948129,0.0,0.017007075176543617,0.0,0.04221257532005735,0.07649400847996744,0.1632735202788328,4.0
974,Planningtorock,W,5LpF1uV3RpZKPA3ZwgK8hI,17.0,256116.83333333334,125.53616666666666,-8.050166666666668,0.08333333333333333,0.4166666666666667,0.04783333333333333,0.0,0.6142500000000001,0.5573500000000001,0.28070833333333334,9,0,4,51927.91823433244,26.08882151362336,2.3707681468377726,0.2886751345948129,0.5149286505444373,0.014168744945595333,0.0,0.18150688692168135,0.24803602560918445,0.17138108232470664,2.0
975,Playboi Carti,Die Lit,7dAm8ShwJLFm9SaJ6Yc58O,80.0,182510.7894736842,135.60299999999998,-6.145421052631579,0.0,0.0,0.17617894736842107,0.05263157894736842,0.7594736842105264,0.6558421052631579,0.41136842105263155,2,1,4,37067.340959962385,28.172494819119827,1.378388927366917,0.0,0.0,0.09399104909480221,0.22941573387056177,0.11926272045877573,0.09762869748746734,0.15173376190856133,7.0
976,Pond,Man It Feels Like Space Again,60aAmcYX5tw7r9ZQ1HF34q,50.0,300779.55555555556,140.199,-5.502444444444444,0.0,0.0,0.09477777777777778,0.0,0.33533333333333337,0.7658888888888888,0.36411111111111116,11,0,4,88529.1406644037,30.68308869719606,0.8847717376689751,0.0,0.0,0.09097465001001348,0.0,0.12061509026651683,0.2052245382772516,0.1498603053216932,6.0
977,Pop. 1280,Paradise,1b4pVloeDH3lsMp1yTeeA4,6.0,262184.77777777775,120.60988888888889,-7.911444444444445,0.7777777777777778,0.2222222222222222,0.04722222222222222,0.0,0.4167777777777777,0.6954444444444445,0.27016666666666667,11,1,4,78421.53490078122,21.818350100571564,4.0677530072237404,0.44095855184409843,0.44095855184409843,0.015503046295629916,0.0,0.11240082047940954,0.25474208089316097,0.2246132787704235,8.0
978,Pop. 1280,The Horror,5sHPVgxc5nuPkZYNVJJMXI,5.0,260614.8,139.2701,-4.4606,0.8,0.0,0.06515,0.1,0.34819999999999995,0.8861000000000001,0.32351,2,1,4,75193.90214756632,20.664484005440624,1.5276576987154042,0.4216370213557839,0.0,0.01941335451006171,0.31622776601683794,0.12835783315923235,0.10737623366255475,0.20627543856590283,7.0
979,Poppy,Poppy.Computer,2X8hslZKWgIy753r4fFOxr,49.0,187399.27272727274,128.19863636363635,-5.450727272727272,0.0,0.09090909090909091,0.053645454545454545,0.0,0.748,0.6763636363636364,0.6279090909090909,7,1,4,24962.21708939696,28.55484992176541,1.6001102518832317,0.0,0.30151134457776363,0.03259145175153643,0.0,0.07625090163401349,0.1356350048676762,0.17612464594454377,6.0
980,Porches,Pool,7kNB1l6WPFlZxH5MtgtW3j,47.0,191461.0,112.271,-7.554666666666665,0.16666666666666666,0.25,0.04584166666666667,0.0,0.6396666666666667,0.57125,0.39091666666666663,7,0,4,25985.41279606345,16.257194150171287,1.3062942960446502,0.3892494720807615,0.4522670168666455,0.025059799692057814,0.0,0.10055150948944554,0.12143170545993781,0.20222959873881124,5.0
981,Portal,Ion,3Ah46ts0j8wOr4lG73e346,22.0,246684.33333333334,132.40277777777777,-6.633222222222223,0.8888888888888888,0.1111111111111111,0.1396111111111111,0.0,0.11474444444444444,0.8314444444444444,0.04209444444444445,8,1,4,135199.09150767248,48.46068196429394,4.436799938519252,0.3333333333333333,0.33333333333333337,0.052312628600664976,0.0,0.04477893229832281,0.22422372260262244,0.030919031805310103,9.0
982,Portal,Vexovoid,0PtGwwqM6zFvawkY3JHtfq,20.0,292055.14285714284,128.83928571428572,-6.463857142857144,1.0,0.0,0.14491428571428572,0.0,0.13427142857142857,0.8477142857142858,0.05834285714285714,1,1,4,71258.78917585903,41.901903527621464,0.7364940435539691,0.0,0.0,0.0487543306989724,0.0,0.05810352009662622,0.1588812074955314,0.03347236955773409,5.0
983,Porter Robinson,Worlds,7AJPV0L05IyIBid97AvwVD,63.0,289518.1666666667,109.45208333333335,-5.894166666666667,0.16666666666666666,0.0,0.052475,0.0,0.46208333333333335,0.5786666666666668,0.21639166666666668,8,1,4,68732.58489092258,19.619106922767152,2.1513735499710767,0.3892494720807615,0.0,0.03084088564345595,0.0,0.12825291655966578,0.1650555462059162,0.15893340777212514,5.0
984,Portico,Living Fields,5s8lPeHr4gkj2ZONxf2l33,32.0,244086.0,109.39666666666666,-10.596111111111112,0.4444444444444444,0.5555555555555556,0.045366666666666666,0.0,0.3796666666666666,0.5143333333333334,0.19014444444444445,6,0,4,100102.6806134581,36.3944556217015,3.7511998228714916,0.5270462766947299,0.5270462766947299,0.010568940344235082,0.0,0.14341722351238012,0.15989293292700585,0.1511446253684787,3.0
985,Portico Quartet,Portico Quartet,019texP50KanUPgv0AqNob,42.0,289726.7,138.84920000000002,-14.8596,0.8,0.6,0.05516000000000001,0.0,0.33152,0.435405,0.22953,10,0,4,146433.0769775812,39.62064174083448,6.965224271734224,0.4216370213557839,0.5163977794943222,0.020607884143911737,0.0,0.1505660194805661,0.22332021410471958,0.21580846471916815,8.0
986,Portugal. The Man,In the Mountain in the Cloud,1OWNvsDzhEwT5cXLlo9iO7,52.0,241050.72727272726,135.306,-5.794181818181818,0.0,0.0,0.04893636363636364,0.0,0.4860909090909091,0.7952727272727274,0.4774545454545454,2,1,4,54941.6534936671,30.650151141552303,1.5048645000917404,0.0,0.0,0.020427250070788907,0.0,0.056220022314927134,0.14059807317960724,0.1048554849651306,6.0
